n,b_sigma,sample,name,mean,sd,npar
n = 20,0.2,in,X1,55.77910040993165,5.699753144435116,20
n = 20,0.2,in,X2,54.99396046467177,5.24755239227142,20
n = 20,0.2,in,X3,52.8520262382543,4.56317325749779,20
n = 20,0.2,in,X4,52.253261082493765,4.362660001475451,20
n = 20,0.2,in,X5,51.9578378855826,4.01168837995257,20
n = 20,0.2,out,X1,57.88920367320085,6.492040133719708,20
n = 20,0.2,out,X2,57.88436603277514,6.6222475352608665,20
n = 20,0.2,out,X3,55.73075475410168,5.531652818718386,20
n = 20,0.2,out,X4,55.96540988500146,5.571200449961098,20
n = 20,0.2,out,X5,56.15631550751704,5.769781245290799,20
n = 20,0.5,in,X1,55.657065060744955,6.1175122856542,20
n = 20,0.5,in,X2,54.68740740115853,5.323545244875107,20
n = 20,0.5,in,X3,51.49454860401149,4.049823567918053,20
n = 20,0.5,in,X4,51.57375703116373,4.0222657657063134,20
n = 20,0.5,in,X5,51.19103431135444,3.9275644274204793,20
n = 20,0.5,out,X1,57.61638402317086,6.081231514151341,20
n = 20,0.5,out,X2,57.92788984154181,6.224691798695955,20
n = 20,0.5,out,X3,55.47038759622628,5.277654558081707,20
n = 20,0.5,out,X4,56.70379103403317,5.450010137183209,20
n = 20,0.5,out,X5,57.13792063206706,5.374485720448002,20
n = 20,1,in,X1,55.83651947406967,5.806464909913262,20
n = 20,1,in,X2,54.789496056340546,5.573373872989108,20
n = 20,1,in,X3,51.647258621814686,4.095920853598827,20
n = 20,1,in,X4,51.43624856524012,3.978703424468474,20
n = 20,1,in,X5,50.932592273971736,3.695992039421647,20
n = 20,1,out,X1,57.5776622322696,6.369555873255259,20
n = 20,1,out,X2,58.13126345393775,6.3705056114320096,20
n = 20,1,out,X3,56.425635859286,5.548896426398467,20
n = 20,1,out,X4,56.86891958170596,5.442478829821065,20
n = 20,1,out,X5,58.07897712411087,5.477382868256382,20
n = 100,0.2,in,X1,283.02322502215907,14.066838287041406,100
n = 100,0.2,in,X2,279.9887850876845,13.076324074359478,100
n = 100,0.2,in,X3,264.2847260067723,11.37061248460903,100
n = 100,0.2,in,X4,263.89413946290017,10.992796210282682,100
n = 100,0.2,in,X5,263.7004821730602,10.697159935085828,100
n = 100,0.2,out,X1,284.82318931595194,14.071604586178578,100
n = 100,0.2,out,X2,283.38149324716824,13.80410992667514,100
n = 100,0.2,out,X3,268.5989570810091,11.921376564928815,100
n = 100,0.2,out,X4,268.84817428444035,11.735361283852656,100
n = 100,0.2,out,X5,270.2780640988279,11.907968692686485,100
n = 100,0.5,in,X1,283.2007892647493,14.107238847548295,100
n = 100,0.5,in,X2,279.5524679378842,13.07200073499584,100
n = 100,0.5,in,X3,263.50528678480447,11.309947225037202,100
n = 100,0.5,in,X4,263.552249618146,10.722392950364258,100
n = 100,0.5,in,X5,262.6953141935101,10.43543471571122,100
n = 100,0.5,out,X1,284.5082498378886,13.842504987880211,100
n = 100,0.5,out,X2,283.9857929064188,14.269123843425705,100
n = 100,0.5,out,X3,268.33856378093316,11.997616514441091,100
n = 100,0.5,out,X4,268.69802718670894,11.615879610065628,100
n = 100,0.5,out,X5,270.6311659340031,11.600104776438291,100
n = 100,1,in,X1,281.8566315925159,13.901057842811335,100
n = 100,1,in,X2,280.0744693287584,13.472142548223662,100
n = 100,1,in,X3,263.38141807240953,11.382482864274555,100
n = 100,1,in,X4,263.5631283253473,11.275494197638988,100
n = 100,1,in,X5,261.3147196162042,10.703020388786689,100
n = 100,1,out,X1,284.10220347057464,14.463195130958342,100
n = 100,1,out,X2,283.5940821501641,13.996787561857266,100
n = 100,1,out,X3,268.7326838489711,11.977393544422268,100
n = 100,1,out,X4,268.93834218157235,11.795035263180145,100
n = 100,1,out,X5,270.65037987802896,11.85968665615448,100
