sample,n,name,mean,sd,npar
in,n = 20,X1,55.86391417129445,6.045773495472435,0.925
in,n = 20,X2,54.5577734675588,5.148850368269028,1.925
in,n = 20,X3,51.53941189492864,4.231564967634604,2.925
in,n = 20,X4,51.37726907960591,3.917678377221948,3.925
in,n = 20,X5,51.10187010935227,3.5829100223360992,4.925
out,n = 20,X1,57.89350142772783,6.483805389275444,1.075
out,n = 20,X2,58.09264403402344,6.568289341652487,2.075
out,n = 20,X3,56.48919202427831,5.674300788526084,3.075
out,n = 20,X4,57.59635388296626,5.699640037116753,4.075
out,n = 20,X5,58.64964235839467,6.013653669861754,5.075
in,n = 100,X1,282.0861621378135,13.960161391078312,0.925
in,n = 100,X2,279.47308936061967,13.58660327274373,1.925
in,n = 100,X3,263.5536531955955,10.845021871149525,2.925
in,n = 100,X4,262.87315392188447,11.296976889980153,3.925
in,n = 100,X5,262.8552363105627,10.967961870451102,4.925
out,n = 100,X1,284.42235789921756,14.102988458456862,1.075
out,n = 100,X2,283.8326309926334,13.940462245477551,2.075
out,n = 100,X3,268.6975926859725,11.953310084565432,3.075
out,n = 100,X4,269.8846185480596,11.833719400844707,4.075
out,n = 100,X5,271.112635165443,12.253789827491012,5.075
